PIPC,NMPIW,rmse,rsq,y_mean,n_obs,model_name,expected_c,timing,error,conf
1,18.115894163869424,3.203404412011397,0.6622476736212455,1.5793724353019492,28,LM,0.9,0.334253072738647,norm,0.9
0.9642857142857143,17.86737749593106,3.7743099539699565,0.5285596804617128,1.0435533398281707,28,LM,0.9,0.2758948802948,norm,0.9
0.9642857142857143,17.956734714408178,3.433818596895356,0.45214660700266063,1.1830305302384319,28,LM,0.9,0.239404916763306,norm,0.9
0.9285714285714286,10.132165557144694,7.708927623404077,0.542633327811707,3.1325808052922035,28,LM,0.9,0.229920864105225,norm,0.9
1,18.463701592287844,2.7712693578365504,0.7101021088315528,2.1227238883231436,28,LM,0.9,0.231653928756714,norm,0.9
1,18.41846314403663,2.920819441028018,0.6421820743482247,1.942965462061631,28,LM,0.9,0.282299995422363,norm,0.9
0.9642857142857143,17.75462543068067,3.7939156443957933,0.5856158322930453,1.8088009465121526,28,LM,0.9,0.28098201751709,norm,0.9
1,18.197771807691574,3.198271611447291,0.5751626740513274,1.80515215214915,28,LM,0.9,0.240959882736206,norm,0.9
1,17.999156334566006,3.1219464836673243,0.7332311908223189,2.202212055729067,28,LM,0.9,0.185372829437256,norm,0.9
1,18.02205812111255,3.4688046735169116,0.43313134953495397,1.7345773155999888,28,LM,0.9,0.204648017883301,norm,0.9
0.9285714285714286,9.870602564740116,7.912380343059345,0.4862795216722887,3.341309054010519,28,LM,0.9,0.17649507522583,norm,0.9
1,17.622034547397625,3.837139258750316,0.5514221256766363,2.4550858875563573,28,LM,0.9,0.178225994110107,norm,0.9
1,18.079781090347044,3.149541919642707,0.318127622339113,1.638644741491558,28,LM,0.9,0.175040006637573,norm,0.9
1,18.043569161717226,3.4325347906751014,0.6220106618616805,1.4230485825050705,28,LM,0.9,0.179885149002075,norm,0.9
0.9285714285714286,10.112896740892227,7.575623329347012,0.43022414591715485,3.156427012536961,28,LM,0.9,0.184744119644165,norm,0.9
0.9285714285714286,10.008688492625641,7.675501050474597,0.4200256952629158,3.8571113649453324,28,LM,0.9,0.177865982055664,norm,0.9
1,17.930501119399896,3.249344073236507,0.5447484785932977,1.7782309284871667,28,LM,0.9,0.185258150100708,norm,0.9
1,18.224586098203154,3.1067615880057384,0.6023502574532873,1.843666426797861,28,LM,0.9,0.188345193862915,norm,0.9
0.9642857142857143,17.846189731742804,4.009117983313318,0.4587018430263898,2.184313582963907,28,LM,0.9,0.183104038238525,norm,0.9
0.9285714285714286,9.689474985638205,7.902919180922596,0.4213571870321937,3.5047528794624863,28,LM,0.9,0.180943012237549,norm,0.9
1,17.77268883714164,3.506239146817799,0.39432988772962146,2.062826301536988,28,LM,0.9,0.189330101013184,norm,0.9
1,18.198267828998336,3.2520127176197016,0.5958902148691736,1.7429043836441054,28,LM,0.9,0.175282001495361,norm,0.9
1,18.165422068743837,3.301253340535956,0.6143846007252708,1.9908299000943248,28,LM,0.9,0.178393840789795,norm,0.9
1,18.337137796834813,2.7253286581890293,0.6178459847143759,1.1952489260572554,28,LM,0.9,0.187230825424194,norm,0.9
1,17.70643471432039,4.091692041985118,0.42236132214351363,1.9967315159324182,28,LM,0.9,0.19126296043396,norm,0.9
0.9642857142857143,17.57285290183806,4.238729710149259,0.39179986508911646,1.5051471257578515,28,LM,0.9,0.177580833435059,norm,0.9
1,17.507607022788736,3.884078462863739,0.3166071428162118,2.023893958975028,28,LM,0.9,0.188009977340698,norm,0.9
1,18.068438681674916,3.1685945942948925,0.3137581869084923,1.4053455187105115,28,LM,0.9,0.18174409866333,norm,0.9
0.8928571428571429,9.631933827076809,7.851788109074518,0.5280681672962639,3.1413748418062992,28,LM,0.9,0.179261922836304,norm,0.9
1,18.209123009034485,3.1249243296846974,0.5140295335857249,1.7065368946402002,28,LM,0.9,0.183653116226196,norm,0.9
1,18.67868182789708,2.6512135352684685,0.7052073119797101,1.5892932977679406,28,LM,0.9,0.197659969329834,norm,0.9
0.9642857142857143,17.881022915377397,3.749525071294645,0.2984127185965307,1.615926968962912,28,LM,0.9,0.183932065963745,norm,0.9
1,17.733509152476827,3.627904984447314,0.5717821397728637,2.514095469721339,28,LM,0.9,0.179031848907471,norm,0.9
1,17.70307879783163,3.7153029779718962,0.5312002762160533,1.8497607889619416,28,LM,0.9,0.192777156829834,norm,0.9
0.7857142857142857,8.85585673970481,8.057713198871358,0.36784097850527997,3.3829138322685144,28,LM,0.9,0.185739994049072,norm,0.9
1,18.228697456409083,3.09386453557449,0.5896770784638821,1.4355367274793709,28,LM,0.9,0.191114902496338,norm,0.9
0.8928571428571429,9.629920592123318,7.7714458200986885,0.50172254792626,3.167804205301628,28,LM,0.9,0.193614959716797,norm,0.9
1,17.627723356735526,3.5842770229928926,0.49654774964694304,2.7101975544973516,28,LM,0.9,0.187107086181641,norm,0.9
1,18.298804306774333,2.964717087295303,0.6476489399441465,1.2199431967601806,28,LM,0.9,0.191949129104614,norm,0.9
1,18.10929943235829,3.30857284089754,0.5468970765799872,1.6194370513075969,28,LM,0.9,0.198667049407959,norm,0.9
1,17.990292301272607,3.501885231202053,0.6723164858434527,1.036831327444232,28,LM,0.9,0.197723865509033,norm,0.9
0.8214285714285714,8.554610068266697,8.33325191462242,0.50550971497149,3.475570951840672,28,LM,0.9,0.193018913269043,norm,0.9
1,17.737132288198378,3.685159394987646,0.339081080239463,1.9931867817249973,28,LM,0.9,0.202436923980713,norm,0.9
1,18.522433502901965,2.7713722710056534,0.6436831845848394,1.853377774039618,28,LM,0.9,0.194844007492065,norm,0.9
0.9642857142857143,17.016337996875176,4.145704126598827,0.5389918673935553,2.1558712417022825,28,LM,0.9,0.204663991928101,norm,0.9
0.9642857142857143,18.016918625955316,3.66658581304916,0.48956404866194103,1.6238830250150489,28,LM,0.9,0.213389873504639,norm,0.9
1,18.220774358034955,3.1044839749449724,0.5255760223838757,2.24689295851196,28,LM,0.9,0.188758134841919,norm,0.9
0.8928571428571429,8.651604404489916,8.373500784096834,0.5329360346705435,3.861056534768903,28,LM,0.9,0.190216064453125,norm,0.9
1,18.643397459545195,2.382412848282551,0.7697077516985724,1.731325384134811,28,LM,0.9,0.197843074798584,norm,0.9
1,17.953796266227076,3.4541537414607415,0.6008101600088327,1.4876690352767514,28,LM,0.9,0.183477163314819,norm,0.9
0.8928571428571429,10.39454478404139,2.27871895798269,0.7713639421285771,1.7364429309638556,28,RF,0.9,0.237714052200317,norm,0.9
0.8928571428571429,10.769536783751912,6.7209629734582865,0.8523866983822866,3.4258011969576057,28,RF,0.9,0.212791919708252,norm,0.9
0.8928571428571429,7.856685474125439,6.841303860934308,0.8725262417611983,3.286357771307925,28,RF,0.9,0.205979108810425,norm,0.9
0.9285714285714286,7.3314175590439055,2.3441945469242675,0.38206608305643736,1.078317752591924,28,RF,0.9,0.199628829956055,norm,0.9
