PIPC,NMPIW,rmse,rsq,y_mean,n_obs,model_name,expected_c,timing,error,conf
0.8888888888888888,8.67484397143672,2.6097911797562867,0.7373941945201081,14.21888174118941,252,LM,0.9,0.179134130477905,norm,0.9
0.8928571428571429,8.574981951525347,2.711024479051254,0.7064529523255166,14.283781088178197,252,LM,0.9,0.144085168838501,norm,0.9
0.9126984126984127,8.6044846704407,2.6797237068829407,0.7166008718980023,14.333256459972977,252,LM,0.9,0.131010055541992,norm,0.9
0.8968253968253969,8.624433308590934,2.6596377771300426,0.7344500860745272,14.139719387770544,252,LM,0.9,0.134142875671387,norm,0.9
0.9246031746031746,8.702771877450388,2.582294690895345,0.7427241539642812,14.122544423340308,252,LM,0.9,0.143261909484863,norm,0.9
0.9126984126984127,8.699456491883666,2.581639598917393,0.7373044793659946,14.157339058669603,252,LM,0.9,0.149768829345703,norm,0.9
0.8888888888888888,8.600705745870007,2.6795426466053804,0.6840705396009308,14.247639333674574,252,LM,0.9,0.129116058349609,norm,0.9
0.9126984126984127,8.726550384105506,2.559659827122804,0.7389236404084206,14.356819012948923,252,LM,0.9,0.129637002944946,norm,0.9
0.9047619047619048,8.623611153558155,2.6549190343956712,0.7283159932595279,14.213224105858545,252,LM,0.9,0.140345096588135,norm,0.9
0.9047619047619048,8.705210537713938,2.5795948736874856,0.74871665592687,13.95517799922221,252,LM,0.9,0.128932952880859,norm,0.9
0.9325396825396826,8.75528332396032,2.5282176418659352,0.7402657425783671,14.239670469603235,252,LM,0.9,0.128191947937012,norm,0.9
0.8928571428571429,8.633504256091854,2.6430540957587674,0.7308710249962183,14.15280409907767,252,LM,0.9,0.143898963928223,norm,0.9
0.9166666666666666,8.698202794712785,2.583173821568523,0.7497126029173695,14.188752750056372,252,LM,0.9,0.13470196723938,norm,0.9
0.8452380952380952,8.386092151002671,2.852866726543358,0.6610096120547188,14.192555483273553,252,LM,0.9,0.15588903427124,norm,0.9
0.876984126984127,8.493735270565919,2.7585759024030567,0.7109818604281174,14.2455619490008,252,LM,0.9,0.157903909683228,norm,0.9
0.9325396825396826,8.8540259395424,2.4346566534835885,0.7769111349793081,14.168689500321731,252,LM,0.9,0.133448123931885,norm,0.9
0.8928571428571429,8.776032329361483,2.5198382622758984,0.7485630962373873,14.33609288444235,252,LM,0.9,0.127933025360107,norm,0.9
0.8888888888888888,8.481340161267644,2.766479139933649,0.7030812807315758,14.368491412899276,252,LM,0.9,0.139494895935059,norm,0.9
0.9126984126984127,8.716630905504177,2.5813004645954103,0.7564101867160324,14.268739667333735,252,LM,0.9,0.134948968887329,norm,0.9
0.9166666666666666,8.67340168190409,2.605335431753981,0.7133528385152975,14.342111240814111,252,LM,0.9,0.135663032531738,norm,0.9
0.9126984126984127,8.830584207315333,2.460907329718668,0.7711770638850995,14.107121649763519,252,LM,0.9,0.141671895980835,norm,0.9
0.9444444444444444,8.81552127247466,2.478125748646366,0.7450793514101275,14.113428274821981,252,LM,0.9,0.126395225524902,norm,0.9
0.9047619047619048,8.698949194727055,2.582021903128091,0.7496393596793037,14.221615799586525,252,LM,0.9,0.127685070037842,norm,0.9
0.9285714285714286,8.722454322903037,2.560795530439637,0.7373421794981093,14.205459226229403,252,LM,0.9,0.137825965881348,norm,0.9
0.9047619047619048,8.742369224030394,2.542141567322463,0.7341065686940224,14.150314787450172,252,LM,0.9,0.1286461353302,norm,0.9
0.9087301587301587,8.75826557787841,2.5371301842399165,0.7204085507208512,14.205361025704688,252,LM,0.9,0.125662803649902,norm,0.9
0.9166666666666666,8.78052854618487,2.5170613586183905,0.7545898758088924,14.102835268471711,252,LM,0.9,0.139616966247559,norm,0.9
0.9126984126984127,8.659675862662294,2.6187437002896505,0.714811418498611,14.220269200098384,252,LM,0.9,0.137154102325439,norm,0.9
0.8888888888888888,8.494065298362916,2.7583804105393877,0.7178808394710702,14.20589791740882,252,LM,0.9,0.12521505355835,norm,0.9
0.8968253968253969,8.752145395482088,2.5432640182139674,0.7645170344072629,14.151702135454821,252,LM,0.9,0.504577159881592,norm,0.9
0.8968253968253969,8.678380224467752,2.6097460835566824,0.743038850553641,14.16120568516831,252,LM,0.9,0.12730598449707,norm,0.9
0.9206349206349206,8.797529853087761,2.49771172610927,0.7536211690787845,14.28505511237346,252,LM,0.9,0.125328063964844,norm,0.9
0.8611111111111112,8.495602565289655,2.7706979214471126,0.6925196631244319,14.290704009943585,252,LM,0.9,0.126022100448608,norm,0.9
0.9285714285714286,8.817000267307662,2.468871314604608,0.7471462385012204,14.227376989634708,252,LM,0.9,0.133188009262085,norm,0.9
0.9126984126984127,8.658271041010552,2.6263312235606557,0.7438142549203486,14.140398015233318,252,LM,0.9,0.128922939300537,norm,0.9
0.9325396825396826,8.8336359772795,2.4551028653378055,0.7591757025306053,14.122878589411517,252,LM,0.9,0.127066850662231,norm,0.9
0.9007936507936508,8.714010505964472,2.571816451579607,0.7440896560368176,14.027278695902512,252,LM,0.9,0.132305860519409,norm,0.9
0.8968253968253969,8.640645934801535,2.6396005695264053,0.7335094086532306,14.303817203929269,252,LM,0.9,0.127006053924561,norm,0.9
0.9047619047619048,8.631348091240353,2.6415676656890654,0.7201388005482076,14.223108382457736,252,LM,0.9,0.128182172775269,norm,0.9
0.8928571428571429,8.535506413053628,2.747283880141988,0.7159350597352313,14.220749142162518,252,LM,0.9,0.137908935546875,norm,0.9
0.9047619047619048,8.718130270534399,2.5700813133474405,0.7405043982672399,14.127748390213196,252,LM,0.9,0.128036022186279,norm,0.9
