PIPC,NMPIW,rmse,rsq,y_mean,n_obs,model_name,expected_c,timing,error,conf
0.9456,9.250356719092482,2.757758199284427,0.4170566359950274,2.1313319802492674,2500,LM,0.9,0.2657790184021,norm,0.9
0.936,9.063320542801113,2.925218487532444,0.38240390080171127,2.1558204519952744,2500,LM,0.9,0.20853590965271,norm,0.9
0.9488,9.208711023820921,2.7965365810813503,0.4000796000494774,2.176491761303062,2500,LM,0.9,0.200927972793579,norm,0.9
0.9564,9.527141864891128,2.483656599540298,0.43158701269654326,2.1181869884988287,2500,LM,0.9,0.186716079711914,norm,0.9
0.9452,9.092831280333275,2.8992667992379153,0.3771722788252302,2.174035867840608,2500,LM,0.9,0.182483196258545,norm,0.9
0.9488,9.088626914926216,2.9031658487588214,0.39897321807511293,2.196299253507264,2500,LM,0.9,0.327453136444092,norm,0.9
0.9456,9.075958065132752,2.91428120446006,0.3792710598314507,2.142879871957683,2500,LM,0.9,0.258475065231323,norm,0.9
0.9448,9.056997941103454,2.9302869231283997,0.3974111333382182,2.213186892362663,2500,LM,0.9,0.237115859985352,norm,0.9
0.9452,9.178021970482789,2.824281637659954,0.38818511721010723,2.1523946510234664,2500,LM,0.9,0.191478967666626,norm,0.9
0.9452,9.180332371075055,2.82211678020608,0.3984950737246101,2.1475576259306215,2500,LM,0.9,0.185932874679565,norm,0.9
0.946,9.258509970999922,2.7497317680976816,0.4064075718469854,2.2251208977087233,2500,LM,0.9,0.176293849945068,norm,0.9
0.9548,9.202123512894564,2.8019932935684455,0.3941805907286363,2.185267302180583,2500,LM,0.9,0.185847043991089,norm,0.9
0.9492,9.434439506592746,2.5817101442722463,0.41155800759636824,2.0974659700384026,2500,LM,0.9,0.180115222930908,norm,0.9
0.9476,9.207536444661448,2.7982208063431746,0.3971785899202406,2.163818463337299,2500,LM,0.9,0.160557985305786,norm,0.9
0.9524,9.341812310695227,2.6720560990355833,0.39712468576096827,2.1475323222619087,2500,LM,0.9,0.307771921157837,norm,0.9
0.9436,9.209538644185844,2.796643346667711,0.4289982746279319,2.1919253339183253,2500,LM,0.9,0.163866996765137,norm,0.9
0.9456,9.202810203734037,2.801177423887416,0.4060478584650839,2.185977721838022,2500,LM,0.9,0.183841943740845,norm,0.9
0.9412,9.093000481363843,2.9010802694588698,0.4178458884524666,2.255861713105854,2500,LM,0.9,0.270738840103149,norm,0.9
0.932,8.901475354562075,3.0602368281003836,0.39335419306573377,2.1862606869355226,2500,LM,0.9,0.197862863540649,norm,0.9
0.9372,8.999134780817514,2.979200948630509,0.39034026632113245,2.2046874976995676,2500,LM,0.9,0.22876501083374,norm,0.9
0.9484,9.200270218108889,2.8039709994664075,0.4162182112169759,2.241940933668451,2500,LM,0.9,0.236240148544312,norm,0.9
0.9492,9.29447423929749,2.716319967165895,0.39962704896266743,2.12563607342938,2500,LM,0.9,0.26163911819458,norm,0.9
0.9536,9.39294129664908,2.6249865982535643,0.39930546632082825,2.0947013678968993,2500,LM,0.9,0.219484090805054,norm,0.9
0.9348,8.920594060864607,3.046529073358752,0.38876807425504334,2.225115069079542,2500,LM,0.9,0.230392932891846,norm,0.9
0.94,8.882462862617077,3.0746654090697816,0.36964805399208994,2.237569281538634,2500,LM,0.9,0.23641300201416,norm,0.9
0.9524,9.332998279813555,2.6794866778968927,0.39990704774126185,2.1557672964562933,2500,LM,0.9,0.240729093551636,norm,0.9
0.9572,9.449284026666568,2.5652231969229664,0.42795475297886276,2.131500060504064,2500,LM,0.9,0.226751089096069,norm,0.9
0.9608,9.540334995687964,2.4742867664727215,0.41559508614803886,2.0812608263691996,2500,LM,0.9,0.2206871509552,norm,0.9
0.9548,9.559560529654469,2.4544352236311355,0.42472891444981187,2.0793973304420295,2500,LM,0.9,0.17566704750061,norm,0.9
0.942,9.096893923048146,2.896004480018556,0.3782358934279311,2.130619536501444,2500,LM,0.9,0.173382043838501,norm,0.9
0.944,9.1093192479415,2.885135808317861,0.4073261371616668,2.2388115043741905,2500,LM,0.9,0.19413685798645,norm,0.9
0.9572,9.437830888304248,2.5773329240781564,0.42168794782110053,2.105096234660083,2500,LM,0.9,0.173245191574097,norm,0.9
0.9432,9.132695331210966,2.863915341238771,0.39188494514971633,2.1630281167485044,2500,LM,0.9,0.172879934310913,norm,0.9
0.9472,9.225149818419599,2.7812088847311967,0.39112394329124234,2.1411222897117663,2500,LM,0.9,0.185040950775146,norm,0.9
0.9388,9.205379887822216,2.7983014775982964,0.4005547609057313,2.1626031865767827,2500,LM,0.9,0.184484958648682,norm,0.9
0.948,9.35933668282209,2.6556342955182615,0.40043309989437215,2.148770150737816,2500,LM,0.9,0.189480066299438,norm,0.9
0.9492,9.197987037137539,2.806035266808602,0.4056188167228159,2.1643506555467913,2500,LM,0.9,0.212386846542358,norm,0.9
0.9464,9.256412257255871,2.752263467827529,0.40715164645994134,2.1778512854877463,2500,LM,0.9,0.194286108016968,norm,0.9
0.9548,9.440855642993872,2.573669145520123,0.42522306129444326,2.1431981692742674,2500,LM,0.9,0.199635982513428,norm,0.9
0.9408,9.039384536237652,2.947633167784249,0.40022239074322075,2.2217335027826213,2500,LM,0.9,0.211088180541992,norm,0.9
