PIPC,NMPIW,rmse,rsq,y_mean,n_obs,model_name,expected_c,timing,error,conf
0.904,3.3041647610448575,1.0027697266223567,0.2580853626703318,2.00923560830719,2500,LM,0.9,0.185441970825195,norm,0.9
0.9012,3.2957221979425526,1.010418948857592,0.2523901315449757,1.991133983762223,2500,LM,0.9,0.196526050567627,norm,0.9
0.8928,3.2786396458375147,1.0257354462082815,0.2340835976755933,2.0070113101102183,2500,LM,0.9,0.18678879737854,norm,0.9
0.898,3.293386907168261,1.012531905847973,0.24306626025631767,1.9955164299521353,2500,LM,0.9,0.18549108505249,norm,0.9
0.9044,3.3071241080182756,1.0001151197733504,0.2728158158160171,2.0027862485961463,2500,LM,0.9,0.186535120010376,norm,0.9
0.8976,3.295635024997194,1.0107325321218765,0.22725533808473652,2.0006103284873364,2500,LM,0.9,0.185307025909424,norm,0.9
0.8972,3.295236828867324,1.0108842566791116,0.2524668883041641,2.007465543662524,2500,LM,0.9,0.197806835174561,norm,0.9
0.9076,3.318803836490616,0.9893511558181245,0.2692727593240333,2.006452596390531,2500,LM,0.9,0.194697856903076,norm,0.9
0.904,3.311537412636351,0.9959787862963304,0.2543427951570168,2.003292533250359,2500,LM,0.9,0.189172983169556,norm,0.9
0.8976,3.2958599657826477,1.0102902224042116,0.2415877215556004,2.012336744719453,2500,LM,0.9,0.140165090560913,norm,0.9
0.9072,3.312838326403492,0.9947687584462167,0.2501634319088485,2.0017745517065566,2500,LM,0.9,0.139173984527588,norm,0.9
0.9084,3.317270876298682,0.9908253571807124,0.27535081927019617,2.000798294565123,2500,LM,0.9,0.186154842376709,norm,0.9
0.902,3.3005203119301423,1.0062684321427458,0.24301924014351894,2.0101447911553616,2500,LM,0.9,0.178312063217163,norm,0.9
0.8964,3.30464098903453,1.0023880657444628,0.2592806328116675,2.005326027393149,2500,LM,0.9,0.142897844314575,norm,0.9
0.9076,3.315384002142029,0.9924827079233378,0.2509185833533019,2.001153736819398,2500,LM,0.9,0.148932933807373,norm,0.9
0.8996,3.2995283030338105,1.0069621523606271,0.25774199647249524,1.995320231707153,2500,LM,0.9,0.135313034057617,norm,0.9
0.9044,3.312423760424217,0.9951869642647602,0.2624095948365483,2.002957862516117,2500,LM,0.9,0.132858991622925,norm,0.9
0.8944,3.2891982573981777,1.0162945706710906,0.2504321799420152,1.997926974748996,2500,LM,0.9,0.13768196105957,norm,0.9
0.9092,3.312511229896832,0.9950833117178799,0.26404464037802444,2.00079437213397,2500,LM,0.9,0.139250040054321,norm,0.9
0.898,3.2954588419947384,1.0107905452177668,0.23339157746906625,2.0057657650285132,2500,LM,0.9,0.135895967483521,norm,0.9
0.9004,3.3026890634774104,1.0041237515916395,0.262135353629231,2.0001257571987847,2500,LM,0.9,0.136322021484375,norm,0.9
0.8984,3.292724927108099,1.0130916572330018,0.24914723643811754,2.0040224050032838,2500,LM,0.9,0.145613193511963,norm,0.9
0.9032,3.2995412979311025,1.0070466733532555,0.26392424271723036,2.002505360524593,2500,LM,0.9,0.143113136291504,norm,0.9
0.8988,3.3057998497814385,1.001302229554353,0.2654319818009902,2.0029308831314903,2500,LM,0.9,0.13409686088562,norm,0.9
0.9008,3.3109089530549154,0.9965764111159124,0.25071960611546373,2.0076241254261804,2500,LM,0.9,0.143895149230957,norm,0.9
0.9004,3.2939953849534884,1.0119948945146104,0.24021692043217882,1.997652672842176,2500,LM,0.9,0.132178068161011,norm,0.9
0.9036,3.3062725005307487,1.000961994314594,0.24119234201004125,2.0031460084685033,2500,LM,0.9,0.134921073913574,norm,0.9
0.908,3.3193198529070895,0.9887929453295697,0.2630039543194777,2.002818985985915,2500,LM,0.9,0.142928838729858,norm,0.9
0.902,3.3011544962509403,1.005499739879994,0.25521635104299345,2.012378445497996,2500,LM,0.9,0.132595062255859,norm,0.9
0.9128,3.338819614637155,0.9705159665972212,0.2548407143623562,1.995708579213165,2500,LM,0.9,0.140330076217651,norm,0.9
0.8996,3.309905238754054,0.9975462643210161,0.2629264265015759,1.9940837348986176,2500,LM,0.9,0.141649961471558,norm,0.9
0.9016,3.3152417671984655,0.9927283503445136,0.2758328290375441,1.9974903096535968,2500,LM,0.9,0.137326002120972,norm,0.9
0.8948,3.3019165663790706,1.0047935268637245,0.26272096073180007,1.994366832073594,2500,LM,0.9,0.134166955947876,norm,0.9
0.9012,3.3080972199580163,0.9992200410857005,0.2629360896679492,2.00238011760843,2500,LM,0.9,0.134040117263794,norm,0.9
0.8976,3.2898842511302866,1.0157395786560388,0.25972634698871633,1.9873298925868939,2500,LM,0.9,0.145910978317261,norm,0.9
0.902,3.305841066700676,1.0012546614132094,0.26515354224253757,1.9941704573335313,2500,LM,0.9,0.137507915496826,norm,0.9
0.9032,3.3035234001625873,1.0033574566277794,0.24670038838042055,1.9944489563493664,2500,LM,0.9,0.141794919967651,norm,0.9
0.91,3.3251347383036283,0.9833431192120357,0.25741548773876777,1.9953754634539553,2500,LM,0.9,0.140663862228394,norm,0.9
0.91,3.3307060016318863,0.9781027065561348,0.2639009465593241,1.9898327777250295,2500,LM,0.9,0.136445045471191,norm,0.9
0.894,3.289115800672498,1.016356750272802,0.24929289902623356,2.0058235337777353,2500,LM,0.9,0.133428812026978,norm,0.9
0.9028,3.3042447931768515,1.0026758397463582,0.24503882937571447,2.0113267136440376,2500,LM,0.9,0.138482093811035,norm,0.9
0.9048,3.310270110129058,0.9971530403808179,0.2631214999262247,1.9994744285009047,2500,LM,0.9,0.13742208480835,norm,0.9
0.8944,3.282007520309261,1.0227794589425918,0.2610455448236645,2.0003316557810633,2500,LM,0.9,0.140567064285278,norm,0.9
0.9148,3.3316055207293656,0.9772702495420957,0.262078210422964,2.0065585107432766,2500,LM,0.9,0.149327039718628,norm,0.9
0.898,3.311799269014003,0.9958354088567385,0.2697339958791361,2.006138229851021,2500,LM,0.9,0.134103059768677,norm,0.9
0.9052,3.3039959902981844,1.0029868383639438,0.24363508880942025,1.9950532222279969,2500,LM,0.9,0.133395910263062,norm,0.9
0.904,3.3039397391973773,1.0029766644455274,0.25359437851739797,2.011083400987965,2500,LM,0.9,0.136581182479858,norm,0.9
0.9032,3.315242622040912,0.9925979264444306,0.25160726520993165,1.993585713644211,2500,LM,0.9,0.141410112380981,norm,0.9
0.9004,3.305727249230633,1.001387423272286,0.2447381244044709,1.9924161210603146,2500,LM,0.9,0.136316061019897,norm,0.9
0.9072,3.3100743873845575,0.9973251074780483,0.24457555355751662,1.9983163860089215,2500,LM,0.9,0.139642953872681,norm,0.9
0.6876,2.3831895449142384,1.2403683420562899,0.09743278688195971,1.9973353771833975,2500,RF,0.9,6.02614498138428,norm,0.9
0.6972,2.442397445600196,1.233479938758326,0.09307994337462525,2.008144764528637,2500,RF,0.9,5.07437705993652,norm,0.9
0.674,2.3716480188098785,1.238283411745567,0.10326411560623995,1.9983608327034013,2500,RF,0.9,5.41572999954224,norm,0.9
0.6884,2.404248070468518,1.2427019037269211,0.09027883546738064,2.005111934834133,2500,RF,0.9,6.31642985343933,norm,0.9
0.6968,2.4083401960017072,1.2474612285976714,0.09612954188016339,2.0013602339476044,2500,RF,0.9,5.84072709083557,norm,0.9
0.6872,2.4059388488267364,1.276048916103784,0.073515943905468,2.0059899705167736,2500,RF,0.9,5.41311097145081,norm,0.9
0.6996,2.4025263607958802,1.2661981582185136,0.09136908008509347,1.9953576160523578,2500,RF,0.9,5.64859819412231,norm,0.9
0.6828,2.4295907772513865,1.2173296630239854,0.10772381654102198,1.9914346916421124,2500,RF,0.9,5.53346586227417,norm,0.9
0.6876,2.394009957546222,1.2256082372038872,0.10351151455826038,1.9829881169620642,2500,RF,0.9,5.45205903053284,norm,0.9
0.6932,2.4190001013041016,1.2237148575720225,0.115499048954421,2.0025610905657723,2500,RF,0.9,5.48479104042053,norm,0.9
0.7,2.4174175166143264,1.2359436953669436,0.09827495527429833,1.9994996456703924,2500,RF,0.9,5.4448938369751,norm,0.9
0.6924,2.4115128199547406,1.2480915057944961,0.10295465658260909,1.9979482221627922,2500,RF,0.9,5.63923192024231,norm,0.9
