PIPC,NMPIW,rmse,rsq,y_mean,n_obs,model_name,expected_c,timing,error,conf
0.908,8.656994304485822,2.598683697857942,0.7202710326781817,14.325348359227439,2500,LM,0.9,0.26523494720459,norm,0.9
0.9124,8.657640031315127,2.5996202694454404,0.7218280673150611,14.364303221717574,2500,LM,0.9,0.173532009124756,norm,0.9
0.9072,8.609096183907067,2.642428700501985,0.7183103627645353,14.361448149398521,2500,LM,0.9,0.169046878814697,norm,0.9
0.8952,8.583775521901282,2.6660571274535143,0.7079930507756532,14.380895435850476,2500,LM,0.9,0.14542293548584,norm,0.9
0.9072,8.641574441641973,2.6131174483675323,0.717343730253894,14.376128914463244,2500,LM,0.9,0.146065950393677,norm,0.9
0.9088,8.678676762366903,2.579425244679187,0.7228903323988868,14.358295265467715,2500,LM,0.9,0.154644966125488,norm,0.9
0.902,8.597930460885346,2.653308567578032,0.70824708638029,14.37092352236824,2500,LM,0.9,0.146650075912476,norm,0.9
0.9084,8.674136218964778,2.5834629652321413,0.7266399457886386,14.362583581557438,2500,LM,0.9,0.140934944152832,norm,0.9
0.9064,8.640125600607833,2.6157967530149757,0.7172609983359415,14.383044301593868,2500,LM,0.9,0.153071880340576,norm,0.9
0.9096,8.656619120948262,2.600339563272256,0.7102590418030762,14.336146762723034,2500,LM,0.9,0.140301942825317,norm,0.9
0.8956,8.562160862364037,2.687056141007341,0.6991269285143641,14.367628531925373,2500,LM,0.9,0.140985012054443,norm,0.9
0.8976,8.583733550370585,2.666519861969922,0.7037506120038786,14.372987281517538,2500,LM,0.9,0.184295892715454,norm,0.9
0.9068,8.64790877005088,2.6079453687497627,0.7165742109124057,14.366814583799192,2500,LM,0.9,0.153471946716309,norm,0.9
0.8964,8.540376283764823,2.704021384148892,0.7025604495633179,14.38497488349671,2500,LM,0.9,0.148262977600098,norm,0.9
0.9024,8.643844793513477,2.610910285294196,0.7232134393888764,14.382581484634935,2500,LM,0.9,0.194322109222412,norm,0.9
0.8996,8.629903470240606,2.6235822001834386,0.7035788117516542,14.357049600081158,2500,LM,0.9,0.146801948547363,norm,0.9
0.9132,8.701162901255058,2.5583781057621913,0.728839254319604,14.338692284573492,2500,LM,0.9,0.141274929046631,norm,0.9
0.9056,8.649278273450134,2.6073788577727948,0.7126451869383059,14.408379450634209,2500,LM,0.9,0.155391931533813,norm,0.9
0.9092,8.648192877420941,2.607255896991641,0.7226713404597698,14.40703451895524,2500,LM,0.9,0.150460004806519,norm,0.9
0.8892,8.536969731210098,2.7088786291803393,0.6885562286855161,14.409196993765686,2500,LM,0.9,0.149194955825806,norm,0.9
