PIPC,NMPIW,rmse,rsq,y_mean,n_obs,model_name,expected_c,timing,error,conf
0.892,3.541538011852762,1.097952053045728,0.17313777715266473,0.9203056968530132,2500,LM,0.9,0.248159170150757,norm,0.9
0.9072,3.561454607536907,1.0797317621624463,0.19010353615130607,0.9232549494545867,2500,LM,0.9,0.187392950057983,norm,0.9
0.904,3.5663170670849658,1.075278604147116,0.19164208551737105,0.9096410834793395,2500,LM,0.9,0.207313776016235,norm,0.9
0.8864,3.5403839940254893,1.0989897716467432,0.16354051646042822,0.9121001731575757,2500,LM,0.9,0.18508505821228,norm,0.9
0.8936,3.5594191631430356,1.0816147572559367,0.1792608810428348,0.9173890844149728,2500,LM,0.9,0.211566925048828,norm,0.9
0.9056,3.5792076722403032,1.0633629649692111,0.1905046856653359,0.9133162406430774,2500,LM,0.9,0.263189077377319,norm,0.9
0.8932,3.553262195826932,1.087185430096479,0.18857358674264926,0.9132052704284882,2500,LM,0.9,0.224349975585938,norm,0.9
0.8988,3.5614650172154825,1.0797747037206258,0.1840203948359393,0.9181733628188816,2500,LM,0.9,0.188104152679443,norm,0.9
0.904,3.5783123598685544,1.0644358510142904,0.21635303492501054,0.9143114309143974,2500,LM,0.9,0.204431056976318,norm,0.9
0.8944,3.557125196113822,1.0836918102129685,0.1893504394421317,0.9152680179501878,2500,LM,0.9,0.192856073379517,norm,0.9
0.8924,3.563204396089164,1.0781875439587267,0.18267883111414027,0.9139642502525805,2500,LM,0.9,0.18861198425293,norm,0.9
0.9,3.5646016816788078,1.076955754967658,0.1842484156433603,0.9151841337687407,2500,LM,0.9,0.2118239402771,norm,0.9
0.8972,3.5611567264510424,1.0800360394981305,0.1871907559245873,0.9202212240428628,2500,LM,0.9,0.194149971008301,norm,0.9
0.906,3.5725864073542826,1.069504941257127,0.193354184210966,0.9215449825988877,2500,LM,0.9,0.192615985870361,norm,0.9
0.8872,3.539738394176939,1.099512671722957,0.20226502094987983,0.9225177283580257,2500,LM,0.9,0.189064025878906,norm,0.9
0.8992,3.5652468622040034,1.0762803994410288,0.19267363396236792,0.9176231275525238,2500,LM,0.9,0.200884103775024,norm,0.9
0.9,3.5731221341572175,1.0690535803121832,0.2024506462132236,0.914801673519243,2500,LM,0.9,0.198984146118164,norm,0.9
0.8936,3.5680753008660773,1.0738768843131434,0.17348419750027205,0.9105155708229559,2500,LM,0.9,0.210165977478027,norm,0.9
0.8956,3.5517881864007523,1.088565086186472,0.19297157503172532,0.9184570301720242,2500,LM,0.9,0.218697071075439,norm,0.9
0.8936,3.5576262401872834,1.0832280840935045,0.1872169638462132,0.9199461921056021,2500,LM,0.9,0.207550048828125,norm,0.9
0.898,3.5590370999202574,1.0819467902107978,0.1811458060549402,0.9161529764852464,2500,LM,0.9,0.206638097763062,norm,0.9
0.9,3.568049911069429,1.073855630189313,0.20748399920701155,0.9108079422417846,2500,LM,0.9,0.211891174316406,norm,0.9
0.902,3.5673153041630403,1.0744346672554939,0.1866139813194604,0.897534539059364,2500,LM,0.9,0.20150089263916,norm,0.9
0.8968,3.558378458290163,1.082575663826099,0.19514685779604823,0.920312497816624,2500,LM,0.9,0.21976900100708,norm,0.9
0.8928,3.540768286743133,1.0984387372334137,0.17854532764151357,0.9210655177813841,2500,LM,0.9,0.200894117355347,norm,0.9
0.8988,3.565791523856209,1.0757795672591635,0.19024352942469308,0.9107257815744126,2500,LM,0.9,0.189637899398804,norm,0.9
0.9036,3.5796448139601384,1.0630267114826473,0.20484641417120697,0.9162997811392513,2500,LM,0.9,0.182579040527344,norm,0.9
0.8848,3.5343827018375222,1.104095650387792,0.17680542958544346,0.9107089538286012,2500,LM,0.9,0.196099042892456,norm,0.9
0.8924,3.55963485557187,1.0815415805070674,0.18847998390279794,0.9322520439769244,2500,LM,0.9,0.185398101806641,norm,0.9
0.896,3.553635715760271,1.0869080800433388,0.19798814227695274,0.9250528982235219,2500,LM,0.9,0.184999942779541,norm,0.9
0.894,3.554890187412589,1.0857539468674289,0.185173382686257,0.9058742222153907,2500,LM,0.9,0.179834127426147,norm,0.9
0.8984,3.560214611874328,1.080883389026015,0.18629631758488988,0.917661355757197,2500,LM,0.9,0.198223829269409,norm,0.9
0.902,3.5649447344774092,1.0765482157330575,0.19596222350951564,0.9107892187382937,2500,LM,0.9,0.182131052017212,norm,0.9
